tipo,qtd,caso,tempo,comparacoes,copias
a,5000,0,0.000902,72024,32035
a,5000,1,0.000884,72024,32035
a,5000,2,0.000748,72024,32035
a,5000,3,0.000615,72024,32035
a,5000,4,0.000678,72024,32035
a,5000,5,0.000674,72024,32035
a,5000,6,0.000931,72024,32035
a,5000,7,0.000817,72024,32035
a,5000,8,0.000780,72024,32035
a,5000,9,0.000868,72024,32035
a,10000,0,0.001924,153657,76077
a,10000,1,0.001665,153657,76077
a,10000,2,0.001523,153657,76077
a,10000,3,0.001613,153657,76077
a,10000,4,0.001671,153657,76077
a,10000,5,0.001573,153657,76077
a,10000,6,0.001673,153657,76077
a,10000,7,0.001723,153657,76077
a,10000,8,0.001908,153657,76077
a,10000,9,0.002020,153657,76077
a,15000,0,0.002944,248149,123143
a,15000,1,0.002736,248149,123143
a,15000,2,0.003088,248149,123143
a,15000,3,0.002980,248149,123143
a,15000,4,0.002638,248149,123143
a,15000,5,0.002614,248149,123143
a,15000,6,0.002795,248149,123143
a,15000,7,0.002637,248149,123143
a,15000,8,0.002877,248149,123143
a,15000,9,0.002847,248149,123143
c,5000,0,0.043931,12497500,4999
c,5000,1,0.041316,12497500,4999
c,5000,2,0.040285,12497500,4999
c,5000,3,0.039298,12497500,4999
c,5000,4,0.040838,12497500,4999
c,5000,5,0.045144,12497500,4999
c,5000,6,0.049759,12497500,4999
c,5000,7,0.049632,12497500,4999
c,5000,8,0.047651,12497500,4999
c,5000,9,0.049066,12497500,4999
c,10000,0,0.166638,49995000,9999
c,10000,1,0.166582,49995000,9999
c,10000,2,0.166858,49995000,9999
c,10000,3,0.162628,49995000,9999
c,10000,4,0.160110,49995000,9999
c,10000,5,0.178582,49995000,9999
c,10000,6,0.170028,49995000,9999
c,10000,7,0.163105,49995000,9999
c,10000,8,0.170539,49995000,9999
c,10000,9,0.176171,49995000,9999
c,15000,0,0.372161,112492500,14999
c,15000,1,0.362637,112492500,14999
c,15000,2,0.361748,112492500,14999
c,15000,3,0.355013,112492500,14999
c,15000,4,0.361011,112492500,14999
c,15000,5,0.358490,112492500,14999
c,15000,6,0.360740,112492500,14999
c,15000,7,0.356199,112492500,14999
c,15000,8,0.356783,112492500,14999
c,15000,9,0.358062,112492500,14999
d,5000,0,0.041317,11864032,556553
d,5000,1,0.042379,11864032,556553
d,5000,2,0.042363,11864032,556553
d,5000,3,0.040798,11864032,556553
d,5000,4,0.042590,11864032,556553
d,5000,5,0.042712,11864032,556553
d,5000,6,0.041198,11864032,556553
d,5000,7,0.039454,11864032,556553
d,5000,8,0.042555,11864032,556553
d,5000,9,0.046302,11864032,556553
d,10000,0,0.174957,47485447,2247279
d,10000,1,0.164676,47485447,2247279
d,10000,2,0.159694,47485447,2247279
d,10000,3,0.177211,47485447,2247279
d,10000,4,0.168415,47485447,2247279
d,10000,5,0.166609,47485447,2247279
d,10000,6,0.175910,47485447,2247279
d,10000,7,0.184802,47485447,2247279
d,10000,8,0.164101,47485447,2247279
d,10000,9,0.167156,47485447,2247279
d,15000,0,0.376275,106835042,5069390
d,15000,1,0.382228,106835042,5069390
d,15000,2,0.399658,106835042,5069390
d,15000,3,0.370832,106835042,5069390
d,15000,4,0.396886,106835042,5069390
d,15000,5,0.395870,106835042,5069390
d,15000,6,0.374315,106835042,5069390
d,15000,7,0.444456,106835042,5069390
d,15000,8,0.411241,106835042,5069390
d,15000,9,0.431793,106835042,5069390
